Year,Month,Return
2020,Jan,0.87
2020,Feb,0.78
2020,Mar,0.89
2020,Apr,0.11
2020,May,-0.82
2020,Jun,-0.92
2020,Jul,-4.05
2020,Aug,-1.36
2020,Sep,1.78
2020,Oct,0.06
2020,Nov,-2.01
2020,Dec,-2.25
2021,Jan,0.68
2021,Feb,0.43
2021,Mar,2.51
2021,Apr,-2.05
2021,May,-1.64
2021,Jun,2.86
2021,Jul,-0.29
2021,Aug,0.61
2021,Sep,1.79
2021,Oct,-0.20
2021,Nov,1.99
2021,Dec,-0.41
2022,Jan,0.98
2022,Feb,0.18
2022,Mar,1.65
2022,Apr,4.73
2022,May,-1.18
2022,Jun,2.88
2022,Jul,1.17
2022,Aug,2.64
2022,Sep,3.15
2022,Oct,-0.53
2022,Nov,-5.00
2022,Dec,-2.29
2023,Jan,-1.37
2023,Feb,2.71
2023,Mar,-2.25
2023,Apr,-0.82
2023,May,2.62
2023,Jun,-1.35
2023,Jul,-1.03
2023,Aug,1.74
2023,Sep,2.45
2023,Oct,0.47
2023,Nov,-3.01
2023,Dec,-2.02
2024,Jan,2.13
2024,Feb,0.59
2024,Mar,0.33
2024,Apr,1.76
2024,May,-1.60
2024,Jun,1.19
2024,Jul,-0.71
2024,Aug,-2.23
2024,Sep,-0.96
2024,Oct,3.11
2024,Nov,1.83
2024,Dec,2.55
2025,Jan,-0.10
2025,Feb,-0.70
2025,Mar,-3.20
2025,Apr,-4.32
2025,May,-0.35
2025,Jun,-2.59
2025,Jul,3.33
2025,Aug,-2.11
2025,Sep,-0.08
2025,Oct,2.07
2025,Nov,0.38
